K10plus-PPN	Hebis-PPN	Umgelenkte Hebis-PPN 1	Umgelenkte Hebis-PPN 2
309396433	089898877		
30943016X	09395915X		
30943114X	45974979X		
30946322X	090674596		
309548829	092972853		
309553938	134288807		
309557291	089693426		
309568420	089684966		
309576393	089580400		
309607892	459722409		
309628571	089804007		
309683971	091411211		
309715628	09977612X		
309715725	099779889		
309717760	089739523		
309724112	099313758		
309745993	090016947		
309832527	090643054		
309909996	089741919		
309959314	093071531		
309960266	091188245		
309980437	459622617		
309992621	032494041		
31006631X	091202825		
310091322	090973100		
310106818	089913787		
310107059	091521394		
310107172	459768492		
310108888	093545185		
310169909	090436717		
310174651	11052280X		
310248523	092944884		
310276225	105620009		
310288118	008061637		
310434602	090666313		
310437504	089084136		
310524512	089658558		
310583942	090938496		
310587638	082243433		
310664950	090004728		
310731860	477913989		
310745225	091985935		
310757967	08968656X		
310821754	089823257		
310831571	090029615		
310914973	089741110		
310921244	089989775		
31093236X	091743664		
310941628	091281296		
310944376	089736702		
310992052	091281830		
311080553	090008464		
311080898	090004442		
311113400	12835061X		
311121330	098903462		
311127371	090430131		
311160948	089727967		
311281370	091493676		
311295355	09526535X		
311296718	090432908		
311304133	09016251X		
311323901	091120292		
311326528	091953006		
311346545	091266238		
311352502	090408705		
311391141	089684125		
311518435	459809210		
311580025	104660074		
311675050	459730096		
311675441	094447535		
311676308	090007743		
311690025	091116082		
311705677	090503333		
311717179	09164156X		
311718906	459825011		
311724558	082324859		
311732410	091657210		
311738702	089946812		
311764940	459971492		
311765130	459971506		
31176567X	459971514		
311783147	084938072		
311818129	459735691		
311844561	090668901		
311935427	09043207X		
311980821	08904603X		
311980864	083781234		
311981933	089067746		
31199413X	093943598		
311994482	098622455		
312015526	089736605		
312019203	089742613		
312019475	089743008		
312023308	089805070		
312033346	08991693X		
312034938	08991922X		
312037392	090003128		
312038674	090004906		
312041039	09000776X		
312046812	091638224		
312062028	090407482		
312067402	090428293		
312078242	09050027X		
312079516	090501632		
312086679	459755668		
312091249	094248419		
312093152	090608380		
312098898	09061464X		
312098928	090614674		
312100949	09066907X		
312100957	090669088		
312144369	091539692		
31214640X	186620608		
312155018	121121372		
31216128X	093976836		
312162383	08241193X		
312223900	093106769		
312237065	096914319		
312390327	091703840		
312402201	091205204		
312423853	459738151		
312594666	459908316		
312609280	091106788		
312640781	091272645		
312647786	093350430		
312797699	094570973		
312827431	089742850		
312863217	091807131		
312883102	090987594		
313026475	093498055		
313030901	459747053		
313073619	091962315		
313083355	093074522		
313083924	091536367		
31310414X	08989829X		
313137781	059404264		
313146241	08479268X		
313157049	106694774		
313160139	45997114X		
313162522	093654251		
313171734	101739494		
313171793	094397708		
313179956	094132321		
313180059	093229550		
313180407	094397805		
313195927	459742833		
313275505	459714686		
313279276	100784224		
313332797	092926185		
31342165X	091281032		
313438293	09432297X		
313466440	089957296		
31352937X	459933728		
313540632	084283491		
313560552	091493781		
31359838X	091192668		
313634769	092573479		
313647208	092571433		
31373089X	093811799		
313773408	092941818		
31377966X	091119448		
313850321	092966802		
313888655	093073054		
313890862	091640660		
313929181	091710650		
313974756	092760147		
313978573	091356342		
314084681	093532245		
314088695	091627508		
314094326	09265004X		
314116664	092584918		
314482571	459783912		
314670157	091449421		
314687017	090988388		
314695451	091115469		
314695486	091115515		
314696520	091188679		
314698035	459743007		
314699740	091193702		
31470003X	091194342		
314704833	091354811		
314707212	091358558		
314708928	091444810		
314710817	091447496		
31471152X	091448573		
31471328X	091521289		
314713417	091521440		
314716467	091525187		
314721290	091628741		
314726802	091703026		
314727612	091703867		
314728538	091704847		
314728554	091704863		
314729038	09170541X		
314751645	099428644		
314754539	091795125		
314832572	092845754		
314868119	08916265X		
314917969	099418134		
314918515	091049814		
314930159	084007567		
314947531	089746910		
314949186	089749774		
314949682	089750551		
314957235	091039738		
314992189	089631501		
314992561	089926110		
314996745	459743783		
314998241	459748831		
315019379	093140258		
315072741	090618513		
315101652	090661524		
315104538	459755412		
315120037	108726584		
315161884	072588802		
315189495	091638240		
315191473	09164061X		
315196947	090644271		
315197684	459756818		
315227206	046831835		
315236663	459727869		
315642998	093038887		
315685115	459718169		
315721383	093064047		
315864478	093074980		
315895276	09606448X		
315896477	091795621		
315896701	091795869		
315897848	091796997		
315926198	094060908		
315983248	093244789		
316020540	026354624		
316025410	459738054		
316027499	091949041		
316030120	091951658		
316030619	09195214X		
316030899	091952425		
316031003	091952549		
316032220	091953758		
316036609	091965284		
316036668	091965349		
316078212	092458998		
316079111	092461492		
316079693	093474660		
316223786	093468512		
316244686	09466188X		
316269921	092666973		
316271462	092669026		
316277339	092693849		
316282332	11470905X		
316287520	45974075X		
316331228	093071264		
316395897	094038414		
316461555	093353073		
316853402	092749313		
316853461	092749348		
316857769	093555903		
31686398X	09411756X		
316865028	093494203		
316879215	459740784		
316880973	092762379		
316888508	092752683		
317552244	09456339X		
317553763	097732087		
317562215	092834744		
317564307	092837735		
317564382	092837824		
317564803	092838316		
317566199	092840043		
317566997	059305568		
317568469	09063943X		
317568582	092842933		
317570455	092845304		
317574981	09285978X		
317575422	092860559		
317602578	092017533		
31774237X	459754270		
317804138	092796559		
317894153	103567275		
317904078	092949010		
317907786	092936911		
31792298X	092966861		
317924427	459767984		
317925202	094777276		
317926101	092970389		
317926349	459745581		
317927922	092972349		
317929461	092973965		
317930451	092975038		
317986686	093076681		
318037920	092738818		
31804109X	092738958		
318041537	092738982		
318069768	093224648		
318073269	034424849		
318084236	093054610		
318087545	093800029		
318087642	092781195		
318087847	093058799		
318088274	092783139		
318089238	093060491		
318089432	09306070X		
318089475	092934285		
318090163	093061536		
318091968	093063709		
318094355	093066287		
318096625	093073143		
318193388	094838313		
31821637X	093192819		
318225174	097792322		
318225476	093631731		
318260867	100337104		
31826725X	184588502		
318277190	004738187		
318287994	093146302		
318288354	093146744		
318294028	093156731		
318294273	093157347		
318338335	094612315		
318339048	099514648		
318360888	095208801		
318369990	095819657		
318370271	102664633		
318453436	093856652		
318460378	094344655		
318464640	094579113		
318465221	094688524		
318467984	093885334		
318477831	093372647		
318481340	459743333		
318502690	093227515		
318504251	093229194		
318505150	100161022		
318505541	093230664		
318534797	093543670		
318579693	093845685		
318581019	092935036		
318589346	091757436		
318589761	094350698		
318721619	094040001		
318730111	093464355		
318744619	10056061X		
318764458	093353693		
31876542X	093354924		
318766108	093355742		
318768518	093358628		
31876881X	093358962		
318769077	093359276		
318773821	093370504		
318776723	093374003		
318818728	093599188		
318823845	093932855		
318831058	459781146		
318887975	093606419		
319099520	093464576		
319149536	459749668		
319173887	104464933		
319227839		186176945	
319338908		185596320	
319338916		007342853	
319347737	093752431		
319352676	093547188		
319367967	093462980		
319369218	092923755		
319369757	093464800		
319373274	093468326		
319432602		005547504	
319432653		005546737	
319433153		19164871X	
319441776	09357262X		
319442470	093543476		
31944256X	093132409		
319442632	093543638		
319442640	093543654		
319442985	093490984		
31944371X	09354474X		
31944418X	093410174		
319444295	093545339		
31944449X	093545525		
319444511	093545541		
319445135	093546173		
319445577	093546610		
319446271	093547323		
319453359	093560346		
319479110	095603867		
319594688	093491689		
319617688	095008128		
319618463	09363921X		
319618609	459772848		
319618617	093639376		
319618889	093639635		
319618935	093639678		
319619990	093640757		
319620263	093641028		
319623912	093628471		
319669262	08213099X		
319685365	459746464		
319750183	093936680		
319752755		02217544X	
319787435		007123825	
319787486		186215711	
319787591		18621636X	
319857999		186226934	
319879526	094241007		
319880443		016440285	
319881822		186233094	
319883124		186235011	
319938603		186238282	
319938670		01650111X	
31993893X		019413920	
319939243		035327421	
319939634		057117187	
319939979		18990965X	
319940160		04950178X	
31995417X		186258011	
31996258X		084161310	
319999785	093751397		
320001903	093753578		
320002543	093754256		
320003094	09375485X		
320004996	093756798		
320011186	093745710		
320086690	074446320		
320086747	09385157X		
32008714X	093851960		
320087492	093852339		
320088529	09385336X		
320088537	093853378		
320088782	09278349X		
320089797	09283311X		
320090892	093855737		
320094162	093843704		
320094634	093844239		
320094952	459743198		
320149676	098077708		
320201821	08961982X		
320227979	100186378		
320303845	10991922X		
320314464	093899912		
320336670	093938241		
320338983	093940602		
320339238	093940858		
320341089	093942699		
320372154	094121605		
320377814	094242836		
320393623	28560550X		
320412148		029063744	
320415074		060501529	
320420701		186270488	
320424979	091515890	093550294	
320428427		275001148	
320443280		186270712	
320473767	092484190	349651590	
320479498		186271034	
320485943		03199458X	
320513882			
320516113		18627193X	
320525511		022931430	
320534855	093863314		
320540871	094055114		
320548430	092935249		
320556875	094121656		
32060098X		186272545	
320616096		057124418	
320633527		186273290	
320642623		060139900	
320660648	459929364		
320708373	459834436		
32072042X	161003508		
32073949X	094853673		
320771407	459739204		
320782832	094047065		
320782913	094047146		
320788342	091403871		
320788601	459828967		
320835138	45984945X		
320908208	094512418		
320908550	094318832		
320936694	094199086		
320948978	094165246		
320975762	095782265		
321038355	459879502		
321083644	09412860X		
321086155	094131783		
321086538	094132259		
321087941	094133980		
32108795X	094133999		
321087992	094134030		
321088026	094134065		
321091736	094121214		
32109221X	094121842		
321130006	125242840		
321181751	092591434		
321214595	094571473		
321346084	106992872		
321352971	459662139		
321354710	459695428		
321467531	09479331X		
321497546	09480592X		
321497635	094805989		
321497740	094806071		
321511034	094349959		
32151128X	094350221		
32151453X	096531533		
321526341	09389869X		
321691490	094260435		
32169497X	063785897		
321788141	090615980		
321804716	095609407		
32181780X	09036578X		
321818148	094465088		
321823117	094476195		
321878302	459829998		
321878744	459829971		
321919602	100013902		
32211263X	094571120		
322157676	096532610		
322301793	094686009		
32230282X	094687218		
322305454	094690014		
322453577	098801996		
322570328	094788871		
322570409	094788952		
322572584	094791147		
322573882	094486271		
322629977	094787883		
32274296X	113394306		
32284407X	094894817		
322844517	094309752		
322845963	094897298		
322849454	094845832		
322853753	094883114		
322909732	09390911X		
322911184	091120977		
322911338	459783939		
322911478	459783904		
323004229	054213169		
323069401	095021302		
323069592	459754041		
323071007	095023186		
323072062	459745735		
323072240	095025057		
323073328	095026304		
323079261	094522332		
323138845	096070919		
323183980	101419449		
323194184	358004950		
32329698X	093359101		
323325513	095129871		
32332598X	095130365		
323327680	095132074		
323328458	09513283X		
323328857	095133240		
323329284	095829520		
323329381	095133801		
323330185	09513462X		
323330371	095134816		
323335500	095121455		
323394973	095345442		
323395503	09534604X		
323396143	095345280		
323396739	095087400		
323409024	095612572		
323437508	096065796		
32353497X	096216271		
323550118	459864106		
323597270	09523764X		
323682812	095219293		
323684130	095220615		
323688039	095224580		
323693156	095211020		
323694578	095052135		
323717470	104403063		
323728685	098261649		
323732224	459734083		
323741630	112062156		
323762646	459746715		
323797806	098048341		
323798659	095314466		
32379906X	097710466		
323802052	095317945		
32380912X	459743147		
323831273	10943403X		
323931014	094753482		
323995470	052780872		
323995934	092666841		
324064721	095467068		
32406828X	095470697		
324071337	45975551X		
32409051X	097748625		
324140851	07953872X		
324192983	099273128		
324211759	094581630		
324337167	096069333		
324368917	095592970		
324368925	095592989		
324370792	095594876		
324370806	095594884		
324384955	095602321		
324441576	45974612X		
32445323X		186273495	
324503237	095851585		
324590326	459750135		
324614675		188124403	
32464437X	098412558		
324659326		096340258	
324704755	09571507X		
324705131	095715452		
324706022	095716351		
324707479	095717927		
324708785	09571944X		
324711905	095734090		
324795823	099093286		
32482775X		186274246	
324888872	098345753		
324961626		186274416	
324961723		186274440	
324967772	095817719		
32496837X	095818405		
324968558	095818588		
324969570	095819614		
325041660	094844054		
325049114		059967048	
325051208		100528031	
325165696		099168200	
325166838	102807558		
325166927	111262682		
325339864	45974643X		
325413096	096052546		
325413118	096052597		
325413819	096053356		
325413878	096053410		
325415129	096054727		
325415315	096054913		
325416265	091133726		
325417199	096056924		
325419116	094753946		
325420904	459754955		
32545082X	438647106		
325487103		058816240	
325524955	506179176		
325547157	098802720		
325572259		060550570	
325606285	106770764		
325610347		186275080	
325702284	103130586		
325702837	096538155		
325733724	097700215		
325797803	096179635		
325798567	096180404		
325799350	096181222		
325799504	096181397		
325803013	096191465		
325803757	096192402		
325903409	121921425		
326009906	100224717		
326030824	098511734		
326151966	099423200		
326155619	096268646		
326155627	096268654		
326156429	096269464		
326156550	09626960X		
326158197	096271272		
326158405	096271493		
326170111	096274379		
326521348	098986384		
326584854	096979461		
326735690	108179230		
326792759	098725408		
326793550	096419938		
326794735	096421134		
326797432	096423889		
326798188	096424729		
326965629	09668982X		
326986952	096521767		
326986960	096521775		
326987932	096522798		
326988319	096523182		
326989242	096524170		
326991328	096526297		
326997393	459745751		
327040793	097826197		
327304278		186272308	
32731463X	097699071		
32731656X	097701408		
327316934	09770184X		
327317744	097702773		
327401893	095814833		
327410612	095273557		
327505575	055046770		
327644680		094843236	
327650613	097787728		
327653949	097791164		
327654678	106894595		
327655461	09779273X		
32765578X	097793116		
327656042	09779337X		
327656360	097793701		
327660066	097803146		
327744774	098813951		
32778086X	097771570		
327781408	097771732		
32779951X	09830304X		
327930837	098114212		
327932538	459886258		
32796555X	098036890		
327967323	098038664		
327971266	459908391		
327976853	459765205		
327979399	098057235		
328047457	10028566X		
328121312	45974710X		
328135356	098104896		
328139572	098109111		
328140112	098109707		
32814584X	098117416		
328168769	10009144X		
328182982	098629913		
32819753X	101737815		
32819820X	099518422		
32820823X	459721437		
328230758	097750999		
328281050	102035067		
328281751	082364958		
328367826	097653640		
328506974	099570378		
328528897	098466429		
328564710	098559435		
328795003	10077962X		
328799904	098671421		
328819190		185548369	
328823597	098314998		
328829102	098260294		
328831964	09832490X		
328899321	459748041		
328941239	055996744		
328950270	134927036		
328984299	098416170		
328985511	099644495		
32898745X	098420194		
32898888X	098421980		
328992593	09842629X		
329182463	098994824		
329232959	022890858		
329263552	098506447		
329303503	459852663		
329316281	099837579		
329323563	108320359		
32938175X	45984587X		
329423630	459798103		
329443569	098813668		
329443607	099744562		
329559737	098616773		
329563335	098620517		
329563424	459937839		
329563491	098620673		
329564293	098621483		
32956434X	09862153X		
329564625	098621823		
329564781	098621998		
329574302	098633406		
329625616	459861638		
329658670	098997939		
329797948	099567490		
329808982	108320529		
329877682	103278125		
329895370	459760890		
329950487	095647252		
32997257X	09812532X		
329973215	098720457		
329975129	098721577		
329978608	098723839		
329978640	098723855		
330081039		061574406	
330082787	098803506		
33008285X	098803573		
330083910	098804669		
330094351	098817477		
33009727X	098820370		
330173111	121973689		
330385569	098897438		
330385879	09889773X		
33038791X	09889983X		
330390511	098903209		
330391917	459756214		
330456830	09846499X		
330464299	459748378		
330495127	091638666		
330501488	102524998		
330577581	459750399		
330591193	099824817		
33061634X		099166305	
330622005	098991736		
330622129	09899185X		
330622889	098992619		
330720252	099021234		
330736191	459946447		
330743023	101064241		
330757954	108951030		
330822993	099582791		
330876589	106646117		
330894838	113315627		
330903063	103133984		
330903268	102316236		
330964100	100214363		
330974831	100037089		
330989804	099112051		
330993275	099116391		
330993739	099116928		
33099574X	099119390		
331102617	399659617		
331176491	09442280X		
33117801X	010699562		
331221683	100502733		
331261529	099216841		
331270013	09922660X		
331329743	100106021		
331382105	45976652X		
331403889	113981503		
331403951	108321851		
33140401X	108321347		
331404079	113981767		
331406586	108642372		
331451360	459744100		
331451743	459678027		
331451921	459627767		
331452200	459613502		
331510391	099056909		
331511665	099306476		
331515393	099310457		
331515539	099310597		
331605988	459750380		
331758997	099384698		
331784424	099415550		
331786834	099417987		
33183734X	095402713		
331846365	100001319		
331921472	09955707X		
331933837	101485573		
331988550	102742324		
33202492X	10079114X		
332064492	101356536		
332138089	099515369		
332177602	099696894		
332180832	099922703		
332201937	099510553		
332202186	099055341		
332202291	099510928		
332203085	099511711		
332203301	099276895		
33220331X	099511940		
332204693	459766074		
332205649	099514389		
332206424	099515210		
33220653X	099515334		
332206955	098155458		
332207137	099515938		
332207226	099516020		
33227988X	099658763		
332341887		192221949	
332342662	099629445		
332343200	099629984		
332343294	099630079		
332343634	099630435		
332345750	099632608		
332346358	099633205		
332346773	099633620		
332350363	099642980		
332350983	097750875		
332357899	099625431		
332358011	099625547		
332494128	099559021		
332638324	099720329		
332639088	099721104		
332641791	09972393X		
332641872	099724014		
332641937	099724073		
332643794	099725975		
332696197	101690134		
332735745	106883151		
332788830	099158213		
332831264		186277407	
332834808	099822059		
332836401	099823713		
332836592	099823918		
332836940	099824264		
332837505	101428189		
332838250	099825635		
332838781	099826178		
332841200	099828626		
332918289	101689748		
333007689	099740486		
333014561	108540405		
333038223	099908123		
333039912	099910063		
333042735	099913224		
333047311	099922150		
33304732X	099922177		
333142551	101407750		
333159489	100094481		
333162226	100779689		
333162714	184589991		
333203089	099014556		
333256344	100725414		
333321413	099995085		
333322150	099995840		
333322258	099995948		
333323289	099996995		
333323645	099997339		
333324366	099998076		
333324528	099998254		
333324773	186594917		
333325877	099999714		
333329686	100007244		
333369351	084804165		
333646150	459856839		
333654056	103270256		
333995945	094004927		
334033519	459720317		
334083575	100072097		
334142261	100088341		
334143322	100089380		
334143896	101691572		
334144019	100090052		
334147298	100093493		
334148006	100094236		
334148073	100094309		
334149754	100096042		
334150175	100096484		
334154987	099740346		
334159776	100101178		
334168090	096796278		
334170966	100213847		
334213703	102303630		
334256941	10068873X		
33429004X		094281505	
334298679	099559994		
334299365	100273017		
334301688	100275397		
33430380X	100277497		
334304490	100278191		
334367123	459758284		
334380715	094424004		
33438219X	100354025		
334383137	100355129		
334586631	100799647		
334588375	099265141		
334592364	459735187		
334613906	459754548		
334624290	100568785		
334720826	100482880		
334721571	177884851		
334722748	10048512X		
334722926	100485316		
334724732	100487416		
334725259	10048798X		
334726352	100489249		
334728789	100500161		
334809762	101173326		
334810094	101173032		
334889820	135020867		
334915147	100453074		
334920876	102534365		
334923999	099291762		
334933595	100558887		
334933900	100559190		
334934893	100560237		
334940192	100569587		
334941229	100570925		
335145205	100728197		
335261159	100751822		
335261590	099150611		
335262988	100753671		
33526395X	100754643		
335265111	100755801		
335269621	100764142		
335364861	459764721		
335428568	099105934		
335484034		098378082	
335535577	101060734		
335535666	101060831		
335535828	101060998		
335535933	101061099		
335535941	101061102		
335544584	098848410		
335606466	101172494		
335608019	097712671		
335728634	10162347X		
335834647	100774229		
33589254X	208538062		
335913628	102866503		
335942652	101195907		
335943012	101196261		
335943330	101196598		
335944418	101197713		
335944485	103059873		
335945791	101202016		
335951732	459760874		
335994172	100328970		
336205155	101317816		
336207514	101320736		
336207808	101321074		
336208863	101322291		
336288549	100485138		
336306601	100354157		
336383886	100220223		
336439709	105781851		
336443072		190930098	
336459602	101412487		
336459661	10141255X		
336460945	101414153		
336461186	101414501		
33646424X	101418477		
336513410	103130659		
336563604	10222367X		
336566646	101484852		
336645341	10163093X		
336675402	099910535		
336738471	101197063		
336802390	10323893X		
336802447	103653104		
336803060	101609728		
336803192	10160985X		
33680413X	102387419		
336804636	103567429		
336805373	100456405		
336806590	103779280		
336808240	101618603		
336808410	101618808		
336808496	459756516		
336822669	104629983		
336912870	459807862		
336925263	459753894		
337021430	102532176		
337368325	10236284X		
337409331	459872834		
337453616	101738242		
337454582	101739206		
337456690	095632301		
337456887	102387680		
337457638	101742339		
337568898	103574662		
337577196	107890402		
337583994	102442681		
337618925	112304710		
337657769	114547378		
337778108	034909419		
33781130X		027741737	
337812314	101860277		
337813655	101861648		
337814600	101862636		
337814716	101862741		
33781547X	101863551		
337815771	101863853		
337817863	101866038		
337819750	101874170		
337820309	101841434		
337835705	105773565		
337893764	024175862		
337903646	102168784		
337959196	456402217		
337960097	102390142		
337983534	058572104		
338014195	102316546		
338032185	10285730X		
338076646	10211840X	100121616	
338081143	102100616		
338083200	102102864		
338087761	102107637		
338089950	102109958		
338090231	102110239		
338199306	010113614		
338218688	102585164		
338258507	102437572		
33840774X	102480001		
338479716		185581196	
338480536		055183174	
338489088	10073703X		
338491228	102227020		
338491449	094513376		
33850172X	103524037		
338602674	459938827		
338695222	10259368X		
338766618		102496765	
338799893	102330492		
338801537	102331928		
338802614	102332665		
338802991	102333025		
338813519	102320780		
339142138	021574316		
339567619	03088263X		
339627190	102212740		
33962731X	102212899		
339665882	45977901X		
33967623X	009553533		
339759526	104798122		
339870680	10239606X		
339875089	102386706		
339928638	459896466		
339944595	102857490		
339989629	102462089		
340040602	103376275		
340041897	108321479		
34007826X		129544876	
340079266	094206171		
340080426	102533563		
340083247	102536422		
340083719	102536910		
340084456	10253764X		
340085479	104523735		
34008801X	102526389		
340544244	104612355		
340739738	103845240		
340761830	107518600		
340775629	106493086		
340873914			
340880481	102661464		
340880635	102661626		
340881356	101631375		
340881364	095349979		
340881550	102662517		
340881615	102662576		
34088164X	102662606		
340882263	102663238		
340882972	102663947		
340884789	101226217		
340884835	10266580X		
34088634X	102667330		
340887052	102268908		
34094868X	107743256		
341007951	105128244		
341225517	268447381		
341296570	005329345		
34129957X	024766216		
341302333	109845978		
341330957	01415692X		
341332658	007413319		
341335754	118196472		
341339644		099176297	
341353272		18558120X	
341363995	102833443		
341364320	102833788		
341364932	102834393		
341366218	102835691		
341367508	102837031		
341367605	102837139		
341369357	102838909		
341370282	102839840		
341373672	09973947X		
341508314	107509229		
341511455	105923869		
341514896	103832408		
34151506X	105184241		
341515620	103980075		
341612286	104929871		
341687863	103492003		
341745081	104085584		
341772453	102772150		
341775363	103073019		
341777285	103074996		
341778419	103076166		
341784362	103065229		
34178527X	09068219X		
34187213X	103462511		
341880167	459934058		
341918792	105730912		
34199930X	054070171		
342048171	103668594		
342088653	12367204X		
342119710	103275053		
342121685	103278478		
342122223	459766082		
342123556	103282017		
342125591	103285415		
342127365	103287841		
342128779	103298835		
342132822	103305548		
342180134	113273614		
342180304	114543658		
342193627	060364831		
342330357	459956574		
342494678	103471979		
342496050	104705884		
342496131	105380806		
34249757X	103475788		
342497669	103475931		
342500619	103479503		
34250519X	103490493		
342616943	104133562		
342648942	103840907		
342689010	122965604		
342689142	105502081		
342698400	112240070		
342758551	103533869		
342759272	103534563		
342759477	104609753		
342760114	103535403		
342760416	103535705		
342760556	103535853		
342760580	103535888		
342760602	10353590X		
342761447	103536795		
342762311	103537716		
34276330X	103538690		
342772171	097771643		
342859250	103656340		
342868098	103463739		
34287991X	459760882		
34288106X	104892579		
342885170	459769243		
342938630	104892374		
342958151	104218304		
342984861	107356376		
343006294	113165994		
343069407	459758802		
343093219	103640045		
343096412	10364430X		
343096765	103644911		
343104350	103661026		
343115115	106400681		
343734842	104394056		
343770385	113556632		
343789779	110755804		
343810697	006154239		
343876620	103762736		
343877716	103764577		
343877805	103764658		
343879530	103766960		
34388223X	103770089		
343883015	103770976		
343890682	103790438		
343940515	459756044		
343988747	103825142		
344029506	12798951X		
344125831	058560890		
344868974	103879455		
344869237	103879781		
344871142	103885072		
344873366	10389165X		
344929043	104336498		
344929663	104336595		
344932435	104336471		
344935442	103150064		
345014421	104230584		
345035178	459754939		
345106318	103975950		
345110803	105908169		
345200152		10671497X	
345219759	098344714		
345230396	106993895		
345255801	472252313		
345303067	108407799		
345331249	223246840		
345402162	105498963		
345419014	45994665X		
345471172	104073705		
345472039	10513547X		
345475410	104078006		
34547550X	10407809X		
345477375	104164336		
345477499	10416445X		
345477731	104164670		
34547774X	104164689		
345478444	104165383		
345482727	104084081		
345485459	104087560		
345486048	103033831		
345488016	104090537		
345494261	104178957		
345544544	103933077		
345654919	105552356		
345680634	104268344		
345761022	10427106X		
345762258	104272368		
34576255X	104272678		
345763939	104274050		
34586820X	112114563		
345933052	105858048		
346045673	111376459		
346045940	12158738X		
346087996	104390190		
34608847X	104390719		
34609142X	104393742		
346092507	104394838		
346095476	104403276		
346157730	093487312		
346499518	072076542		
346517354	110389638		
346526426	108131661		
346531934	104492864		
346539145	106640712		
346643597	10479416X		
346658950	106565885		
346706424	104514841		
346712467	104526408		
346724171	104432292		
346919614	104829486		
346920795	106882821		
34696041X	107356155		
346972507	104599545		
34697402X	10460106X		
346975069	104602104		
346976057	104603119		
346976065	104603127		
34697609X	104603151		
346976170	104603240		
347266835	109480252		
347266983	106639269		
347270298	104448563		
347270328	106773348		
347543669	104696354		
347543766	10469646X		
347545734	104698519		
347545793	104698578		
347552773	104710179		
347556310	104703423		
347727670	45991751X		
347746144	10466228X		
347952348	459756354		
348104995	104626445		
34815223X	104778814		
348152361	104779039		
348154127	104784210		
348154623	10478590X		
348159382	104797355		
348195508	108529053		
348240511	099536420		
348406495	108053296		
348440251	459789732		
34844446X	095314946		
348470150	105610208		
34848724X	10683617X		
348521189	104891793		
348527608	10354643X		
348694741	11942777X		
348722818	112025323		
348841612	459820249		
348866607	105000698		
34886678X	105000892		
348867670	105001813		
348870272	10500443X		
348925921	45991734X		
348971230	106456296		
349036578	107883295		
349069999	105276340		
349075182	10516268X		
349090440	105124672		
349090912	105125164		
349092273	105126713		
349093288	105127817		
349100365	105141216		
349102627	105143510		
349209928	048802182		
349361347	105401056		
349363749	105404292		
349365261	105406678		
349365601	105407240		
34936933X	105385530		
34948807X	459733036		
349624410	095467874		
349627517	106981951		
34964828X	106551167		
349776016	107824744		
349778299	459875086		
349784434	105456276		
349784442	104468076		
34978695X	105459755		
349859760	10808387X		
349891575	105743097		
350011176	105254401		
350011850	106468332		
350106614	10579855X		
350114854	108561186		
350118183	098799177		
350120706	45975324X		
350133204	108045773		
350135797	105508977		
350136483	105371815		
350137498	105510807		
350143927	105522244		
350183376	108074862		
350184380	112788734		
350184666	116058927		
350186383	110526368		
350209030	105799874		
350275203	105663530		
350361215	107219247		
350361851	105840408		
350415404	109449207		
350489629	106027034		
350510938	105593044		
35051528X	105597465		
350516332	105598542		
350516650	105598879		
350522308	45979177X		
350561443	459785133		
350607664	108954900		
350700095	105727652		
35070242X	105278815		
350754462	459934066		
350755000	109466950		
350759650	111874483		
350760225	122064682		
350835950	107979586		
350854874	108136930		
350880484	105927600		
350904995	107511223		
350951640	112710247		
350983992	106441361		
351005234	105837873		
351007628	105840289		
351007776	105840432		
35100811X	108465330		
351010076	105842672		
351010440	105843032		
351011331	105843911		
351011471	105844047		
351011498	105844063		
351018131	022973516		
351197184	107234327		
351209239	105688223		
351210814	106444344		
351281606	108678350		
351291733		109416244	
351298320	110082036		
351885749	107724219		
351891919	106027727		
351924892	107699079		
351956891	106673726		
351983066	105953660		
351983570	105954160		
351983589	105954179		
35198464X	10595523X		
351984992	100782167		
351986057	105956716		
351986324	105956996		
351986359	10595702X		
351986588	105957259		
351987282	105957968		
351987312	105957992		
351987487	105164801		
351987665	105958379		
351987681	105958395		
351989056	105959774		
351989579	105960292		
351989730	105960454		
351990895	105961647		
351996311	105971642		
352101911	105126411		
352203420	129650099		
352206101	111154685		
352242019	109845463		
352243430	112969151		
352243759	115305785		
352247010	121487504		
352247959	113926367		
352248181	107878003		
352248386	11080323X		
352317353	112159990		
352339004	106429612		
352341033	106431595		
352341203	106431781		
352341564	106432168		
352343451	106434012		
352344458	106435043		
352344903	106435515		
352351152	106447122		
352390506	110955730		
352441216	114667942		
352454873	110267672		
352456108	11028044X		
352648058	106552406		
352648309	106552643		
352650753	106555170		
35265337X	106557831		
352653523	10655798X		
35265418X	106558684		
352654201	106558706		
35265600X	459762524		
352753846	115048898		
352929650	106638572		
352931140	106640054		
352932562	106641476		
352932708	106641611		
352935472	106644467		
352935766	106644750		
352937564	106646567		
352938013	106647024		
352938439	106647458		
35304783X	111174295		
353111163	107636751		
35313550X	459773062		
353138576	11355463X		
353266957	108113558		
353320994	106767038		
353321559	106767593		
353321907	106767968		
35332261X	106768670		
353322806	106768859		
353322997	106769049		
353323861	106769952		
353324809	106771124		
353325228	108553175		
353326283	106772716		
353326305	103936327		
353326348	106772767		
353326453	106772872		
353326879	106773291		
353326909	106773321		
353326976	106773402		
353327794	106774190		
353381861	459829963		
353403733	106880128		
353403784	106880179		
353404330	106880705		
