K10plus-PPN	Hebis-PPN	Umgelenkte Hebis-PPN 1	Umgelenkte Hebis-PPN 2
01554446X	016834003		
015544532	014312093		
015545156	014138069		
01554723X	017304903		
015547248	016834062		
015553566	011389591		
015561747	080465447		
015566250	080574319		
015568261	029248442		
015579948	004582888		
015581233	080629806		
015581454	032798911		
015584232	080251897		
015587592	080626661		
015589137	080755739		
015599213	080716199		
015601080	080882269		
015607070	079324398		
015607739	071663797		
015613143	022317104		
015613569	080848087		
015614697	459695541		
015629139	08129672X		
015629821	08123905X		
015635546	459702459		
015654109	026771241		
015658562	081629311		
015660893	08147797X		
015667456	011112506		
01567018X	081641923		
015682269	081742142		
015682544	026459299		
015684016	081589700		
015690199	034098313		
015691098	081616600		
015691292	081588763		
015698912	021425027		
015700186	027364666		
015700240	11209497X		
015703541	052404390		
015711315	032872089		
01571229X	112714285		
015712761	004586182		
015713474	006690203		
015719456	016858271		
015719561	053640365		
015721329	113082320		
015729133	127306277		
015730581	459639447		
015731561	112094953		
015732746	023376910		
01573739X	022081682		
015762521	459757539		
015771903	01733389X		
015772675	004140885		
015774902	004820320		
015776433	004961188		
015779262	031639208		
015779653	004734513		
015788121	004820622		
015788636	005518059		
015803082	004630610		
015812413	004655494		
015815390	09675222X		
015819957	00531335X		
015825825	022089446		
015827216	00485375X		
015832260	007314442		
015832333	004630734		
015844935	005494621		
015851737	025394436		
015856941	005353912		
015857905	004836596		
015876691	009173455		
015894509	008960127		
015899462	009511059		
015901009	009536507		
015901416	009194010		
015901440	007890656		
015901467	008959277		
015903729	009194053		
015906590	005994608		
015913724	009117172		
015914402	009922636		
015923215	009542817		
015923509	00594774X		
015925145	007763921		
015927288	007169892		
015941213	007683340		
015942082	007502222		
015951855	008533245		
015955192	00853392X		
015964515	010429506		
015964566	010611126		
01596874X	011285974		
015969126	011322322		
015985210	011322942		
015994139	003479676		
016006747	012685801		
016007468	019654928		
016017404	012924318		
01602026X	013080504		
016028090	01313132X		
016043448	459806602		
016050711	110353528		
016052366	012267384		
016054466	459671499		
016055276	016004086		
016059662	012125644		
016062817	014899175		
016063554	01648309X		
016068696	45963299X		
016068718	009471669		
016071484	017701694		
01607825X	017407044		
01608182X	019181965		
016089014	019218249		
01609445X	019333552		
016098935	013934732		
016100123	019353103		
016100859	020283156		
016107829	020086253		
016110943	020134215		
016112075	020832354		
016112385	020399294		
016113381	02110641X		
016113756	020762100		
016164261	009396497		
016188799	121971066		
016188934	45991782X		
016189442	030874122		
01618968X	032578458		
016191129	023982160		
01619165X	072299703		
016197550	080434312		
016198484	028838874		
016202988	017819474		
016205669	080316948		
016213017	024488321		
016222652	08076701X		
016222911	080691544		
016231015	080578497		
016240421	033345457		
016240863	081531281		
016241290	030232813		
016241304	029119715		
016243951	035343508		
016248198	027850110		
016248627	02800244X		
016250656	081074700		
016266390	081110251		
016269322	024798967		
016272935	033918864		
016279212	004281837		
016280768	08103993X		
016287177	035250232		
01629260X	08128294X		
016292634	026696916		
016301749	019131801		
016304772	025581252		
016305094	081437315		
016308492	081409281		
016311833	081428049		
016312678	232118787		
016322851	030838347		
016324218	032235062		
016331141	034409408		
016331494	081523114		
016332598	081536224		
01633597X	081558988		
016340965	081520786		
016340981	030880076		
016341198	004732669		
016347439	052924459		
016349865	02641001X		
01635026X	058053484		
016352718	076371751		
016357523	076372596		
01635754X	07637260X		
016362926	031168701		
016363000	081722389		
016367731	029298806		
01636774X	052452697		
016370252	081857489		
016370945	054991188		
016373871	022032347		
016377109	081775482		
016385527	459647040		
016387198	028704010		
01639917X	020428952		
016403886	035823909		
016415248	021390630		
01642333X	035343141		
016445562	072035218		
016452933	00416945X		
016455096	004292758		
016477006	459798030		
01651209X	459721453		
016529693	459701207		
016530454	025322214		
016533046	029745969		
016537424	004123220		
016539079	004219503		
016540719	028830784		
016542649	004357698		
016543084	004748522		
016550420	004747178		
016550609	005681235		
016552148	004661052		
016554159	004636481		
016557042	004385616		
016559487	005227674		
016561570	005805201		
016569016	004685024		
016569679	00739702X		
016577485	00627756X		
016577604	007276559		
016579992	007657099		
01658192X	011472286		
016584090	001145568		
01659052X	010902724		
016596161	007437412		
016606981	007890559		
016623495	009173420		
016625587	013960148		
016627539	007528701		
016628853	459916653		
016632702	459648543		
016640071	016841581		
016658264	125075456		
016674391	008959366		
016677463	009653694		
016683706	009118403		
01669046X	009368981		
016702271	080124550		
016730852	007894457		
016733584	010029826		
016733630	459908243		
01673999X	005761751		
016741277	009511881		
016746333	00599456X		
016749715	006445624		
016752295	00571348X		
016761391	001782290		
016771656	004674383		
016773136	009827153		
016778723	006377661		
016784650	007835345		
016787471	006154417		
016787609	004697545		
016792572	006448046		
016812638	009904999		
016817834	459874349		
01682671X	005937388		
016826728	007865643		
016826736	007865708		
016832191	006958699		
016832329	008733554		
016834879	008502307		
016848160	00961950X		
016848179	006449735		
016850076	005566398		
01685585X	006891047		
016861728	008502374		
016868242	459703323		
016871898	009546847		
016872126	089776321		
016873858	008309523		
016876490	006497160		
016889444	008164819		
016891805	006379087		
016894952	009237224		
