k10plus-PPN	hebis-PPN	k10plus-EPN	hebis-EPN	206X
279676913	054668824	6004458937	1082858951	HEB1082858951
279683340	055920497	6004464910	1082846139	HEB1082846139
279684991	055276113	6004461113	1082905151	HEB1082905151
279704038	055619754	6004462721	1082857963	HEB1082857963
279706529	056252757	6004466379	1082965839	HEB1082965839
279709161	054344085	6004457965	1082844810	HEB1082844810
279709544	054362407	600445799X	1082959804	HEB1082959804
279714041	055799671	6004463884	1082866172	HEB1082866172
279714041	055799671	6004463892	1082866180	HEB1082866180
279717830	055666108	600446323X	1082859435	HEB1082859435
279726724	055190758	6004460710	108284943X	HEB108284943X
279726724	055190758	6004460729	1082849448	HEB1082849448
279729766	031913725	6004219703	1082703567	HEB1082703567
279737904	061450189	6004482757	108287471X	HEB108287471X
279749821	056635699	6004468266	1082871907	HEB1082871907
279765258	056134592	6004466085	1082858870	HEB1082858870
279765258	056134592	6004466093	1082858889	HEB1082858889
279769539	054670071	6004458945	1082858579	HEB1082858579
279771592	055679188	6004463396	1082851566	HEB1082851566
279773374	054323223	6004457876	1082966223	HEB1082966223
27978757X	055594743	6004462519	1082860999	HEB1082860999
279798156	05720599X	6004470708	1082847755	HEB1082847755
27980248X	05278729X	6004454419	1082845493	HEB1082845493
27980346X	053965833	6004456713	108285039X	HEB108285039X
27981271X	055680038	6004463426	1083144154	HEB1083144154
279815581	058337369	6004473405	1082851396	HEB1082851396
279819129	056050151	6004465364	1082865281	HEB1082865281
279819129	056050151	6004465372	108286529X	HEB108286529X
279857640	05160616X	6004446262	1082868159	HEB1082868159
279871988	055878105	6004464392	1082870315	HEB1082870315
279878826	055887864	6004464635	1082862932	HEB1082862932
279878826	055887864	6004464643	1082862940	HEB1082862940
279885407	051966182	6004449245	1082887609	HEB1082887609
27988544X	054959438	6004459291	1082853003	HEB1082853003
27988544X	054959438	6004459305	1082853011	HEB1082853011
279886942	055893066	6004464759	1082868493	HEB1082868493
279896352	05663658X	6004468320	1082869228	HEB1082869228
279899076	055192440	6004460745	1082859567	HEB1082859567
279902255	009349537	6004517259	1082845272	HEB1082845272
279903596	053908546	6004456470	1082865613	HEB1082865613
27990729X	054059992	6004456985	1082868779	HEB1082868779
279911947	055612288	6004462632	1082860212	HEB1082860212
279917252	053405706	6004455245	1082843199	HEB1082843199
279917252	053405706	6004455253	1082843202	HEB1082843202
279918984	05452251X	6004458570	1082845620	HEB1082845620
279918984	05452251X	6004458589	1082845639	HEB1082845639
279922299	056364970	600446693X	1082863572	HEB1082863572
279922299	056364970	6004466948	1082863580	HEB1082863580
279923104	055361994	6004461385	108286207X	HEB108286207X
279923848	059693274	6004477621	1083114387	HEB1083114387
279932715	05292274X	6004454982	1082979503	HEB1082979503
279942109	055883427	6004464511	1082959936	HEB1082959936
279942109	055883427	600446452X	1082959944	HEB1082959944
279949227	026805316	6004198668	1082651982	HEB1082651982
279950152	056836341	6004469246	108287048X	HEB108287048X
279954506	056848749	6004469424	1082871370	HEB1082871370
27995963X	054078717	6004457132	1082848484	HEB1082848484
27995963X	054078717	6004457140	1082848492	HEB1082848492
279959842	055045545	6004459992	1082862975	HEB1082862975
279964722	056532407	6004467871	1082874922	HEB1082874922
279965982	054057817	6004456942	1082873152	HEB1082873152
279966644	055328717	6004461245	1082881082	HEB1082881082
279966644	055328717	6004461253	1082881090	HEB1082881090
279971923	054965853	6004459380	1082857335	HEB1082857335
279971923	054965853	6004459399	1082857343	HEB1082857343
279978251	055050115	6004460168	1082865567	HEB1082865567
279981171	054965705	6004459372	1082863394	HEB1082863394
27998992X	054477492	6004458392	1082908169	HEB1082908169
280000006	054957966	6004459267	1082865117	HEB1082865117
280001800	056466307	6004467499	1082876399	HEB1082876399
280003390	056364946	6004466905	1082863629	HEB1082863629
280003390	056364946	6004466913	1082863637	HEB1082863637
280003390	056364946	6004466921	1082863645	HEB1082863645
280010516	056668953	6004468622	1082873616	HEB1082873616
280021593	054981514	6004459712	108285798X	HEB108285798X
280038534	055043194	600445995X	1082869368	HEB1082869368
28004593X	054978270	6004459623	1082877433	HEB1082877433
280068271	055862462	6004464341	1082878405	HEB1082878405
280073186	055849547	6004464287	108286546X	HEB108286546X
280077963	055885128	6004464597	1082873667	HEB1082873667
280084951	055193714	6004460761	1082884812	HEB1082884812
280091796	059915218	6004478636	108286238X	HEB108286238X
280116381	055196624	600446077X	1082870277	HEB1082870277
280121091	055705774	6004463663	1082865621	HEB1082865621
280129130	056701446	6004468738	1082906093	HEB1082906093
280133049	057270937	6004470821	1082869473	HEB1082869473
280133154	05708162X	600447035X	1082871222	HEB1082871222
280134452	058451404	6004473693	108287602X	HEB108287602X
280150962	056849559	6004469432	1082871710	HEB1082871710
280153333	056546483	600446791X	1082965758	HEB1082965758
280159625	055848052	6004464244	1082870005	HEB1082870005
280160410	056128096	6004465976	1082866881	HEB1082866881
280161352	403457572	600424306X	108290662X	HEB108290662X
280163894	055494137	6004461970	1082868817	HEB1082868817
280174314	055488528	6004461873	1082865389	HEB1082865389
280176929	056733453	6004469009	1082869201	HEB1082869201
280187742	056997248	6004470155	1082870501	HEB1082870501
280187874	058453377	6004473723	1082877670	HEB1082877670
280219342	056629826	600446810X	1082870056	HEB1082870056
280220510	056994575	6004470120	1082875929	HEB1082875929
280233310	459963228	6004392413	1083172263	HEB1083172263
280233779	056850123	6004469483	1082870293	HEB1082870293
280237537	056923783	6004469823	1082870870	HEB1082870870
280243871	055989977	6004465070	1082873578	HEB1082873578
280247311	055370128	6004461520	1082874841	HEB1082874841
280247869	057270783	6004470805	1082869066	HEB1082869066
280251173	059292148	6004476102	1082881236	HEB1082881236
280252188	055149448	6004460540	1082851388	HEB1082851388
280252188	055149448	6004460559	1126352160	HEB1126352160
280265360	059370297	6004476560	1082876445	HEB1082876445
280267428	059893354	6004478571	1082881279	HEB1082881279
280306393	056921152	6004469785	1082852600	HEB1082852600
280310536	05684655X	6004469378	108287082X	HEB108287082X
280341164	058821546	600447469X	1082990337	HEB1082990337
280350880	06056217X	6004480363	1082885665	HEB1082885665
280563647	054107024	600445723X	1082853518	HEB1082853518
280704933	005877326	6004474541	1082619892	HEB1082619892
28070495X	027369714	6004201022	1082619361	HEB1082619361
28070500X	046815848	6004413445	1082624683	HEB1082624683
280771568	004748441	6004415162	1082789100	HEB1082789100
280772750	005527317	6004541893	1082577944	HEB1082577944
280890532	004884833	6004540234	1082580910	HEB1082580910
280908687	018478263	6004152579	1082612901	HEB1082612901
280908717	016884647	6004141267	108261291X	HEB108261291X
280912285	008909180	6004544140	1101056061	HEB1101056061
280996241	005455170	600454177X	1117088685	HEB1117088685
281028613	01349788X	6004133922	1082723444	HEB1082723444
281040028	026724472	6004532703	1082717576	HEB1082717576
28131036X	004281802	6004535222	1117150178	HEB1117150178
281342334	030962021	6004216372	1082722332	HEB1082722332
281342334	030962021	6004216380	1082722340	HEB1082722340
281368015	009203214	6004544442	1082716480	HEB1082716480
281495483	00443787X	6004535443	1101059796	HEB1101059796
28153201X	018699529	6004530824	1082580295	HEB1082580295
281716102	459502603	600453644X	1082580058	HEB1082580058
281769230	004649796	6004539619	1082576328	HEB1082576328
28195934X	026898349	6004532738	1082580821	HEB1082580821
281988269	050186256	6004540633	1117154939	HEB1117154939
282012125	009066586	6004544337	1101055758	HEB1101055758
282048553	048752525	6004540188	1117154785	HEB1117154785
282082549	048986135	6004426962	1082602760	HEB1082602760
28208858X	45950830X	6004537489	1082585815	HEB1082585815
282292292	046741941	6004539732	1117154750	HEB1117154750
282469540	010309896	6004090204	1082812080	HEB1082812080
293002827	06154244X	6004483095	1082887757	HEB1082887757
293002835	061374997	600448251X	1082889121	HEB1082889121
293002843	061374741	6004482501	1082888214	HEB1082888214
293013454	072008490	6004487872	1082890170	HEB1082890170
293030863	016470028	6004140090	1082814466	HEB1082814466
293033153	056850107	6004469475	1082871281	HEB1082871281
293059152	056851995	6004469548	1082871052	HEB1082871052
29306234X	012240397	600411796X	1082828041	HEB1082828041
293068917	06157645X	6004483303	1082875724	HEB1082875724
293126267	051534711	6004445789	1082916668	HEB1082916668
29313152X	052075214	6004450731	1082918199	HEB1082918199
293144869	055813011	6004463973	1082866830	HEB1082866830
293146209	056266340	6004466530	108287762X	HEB108287762X
293150834	058574344	6004473960	108287678X	HEB108287678X
293151059	057999171	6004472182	1082875600	HEB1082875600
293151059	057999171	6004472190	1082875619	HEB1082875619
293152942	057273693	6004470864	1082870404	HEB1082870404
293152942	057273693	6004470872	1082870412	HEB1082870412
293180636	055960758	6004465011	1082869759	HEB1082869759
293187029	059011270	6004475343	1082876933	HEB1082876933
293194882	056275404	600446676X	1082850373	HEB1082850373
293228752	061286842	6004482110	108289110X	HEB108289110X
293238901	056059027	6004465526	108287079X	HEB108287079X
293247420	060485752	6004480290	1082882402	HEB1082882402
293266042	071721002	6004487430	108294047X	HEB108294047X
293285926	054050286	6004456926	1082826111	HEB1082826111
293341524	058418342	6004473626	1082849197	HEB1082849197
293346968	059886773	6004478342	1082868973	HEB1082868973
293383073	06109630X	6004481572	1082896969	HEB1082896969
293407037	056997787	6004470163	108287003X	HEB108287003X
293904529	020799926	6004170488	1082795550	HEB1082795550
293904715	459691201	6004312282	1082849871	HEB1082849871
299169251	034343849	6004229229	1082709786	HEB1082709786
299328945	45971127X	6004549592	1082872695	HEB1082872695
30003962X	081968353	6004503762	1082893552	HEB1082893552
30020972X	459730215	6004556017	1082894362	HEB1082894362
300218435	101351712	6004087769	1083008560	HEB1083008560
300222963	123037883	6004529087	1083904728	HEB1083904728
300225717	08205357X	6004504181	1082895571	HEB1082895571
300317514	459720708	6004553093	1082883565	HEB1082883565
300349467	082334129	600450470X	1082893404	HEB1082893404
300349467	082334129	6004504718	1082893412	HEB1082893412
300349467	082334129	6004504726	1082893420	HEB1082893420
300369913	079249825	6004496936	1082962449	HEB1082962449
300369913	079249825	6004496944	1082962457	HEB1082962457
300370989	079250777	6004496952	1082893544	HEB1082893544
300372264	079251900	6004496960	1082900451	HEB1082900451
30037268X	079252249	6004496979	1082900443	HEB1082900443
300376308	079255671	6004496987	1082894850	HEB1082894850
300389159	079247857	6004496901	1082977322	HEB1082977322
300389167	079247865	600449691X	1082894605	HEB1082894605
300541023	079242413	6004496839	1082901601	HEB1082901601
300594291		6004584045	1117159531	HEB1117159531
300594399		6004584053	1078274568	HEB1078274568
300688784	081343388	6004502251	1082906123	HEB1082906123
300692323	081346557	600450226X	1082923753	HEB1082923753
30069377X	081347804	6004502278	1082902551	HEB1082902551
300693818	072207132	6004488283	1082902543	HEB1082902543
300693893	081347901	6004502286	1082927074	HEB1082927074
300694083	081348088	6004502294	1082924849	HEB1082924849
300695098	081348924	6004502308	1082920266	HEB1082920266
300710569	081342101	6004502235	1082893536	HEB1082893536
300716583	081371756	6004502340	1082894478	HEB1082894478
300905319	083361243	600450579X	1082629049	HEB1082629049
300920660	084462833	6004507679	1082895725	HEB1082895725
300959532	081968280	6004503711	1082898767	HEB1082898767
300959532	081968280	600450372X	1082898775	HEB1082898775
300959532	081968280	6004503738	1082898783	HEB1082898783
300959532	081968280	6004503746	1082898791	HEB1082898791
300960905	081969570	6004503770	1082901067	HEB1082901067
300960905	081969570	6004503789	1082901075	HEB1082901075
300961715	081970323	6004503797	1082893641	HEB1082893641
300962061	091234921	6004513318	1082994448	HEB1082994448
300962975	081971354	6004503819	1082900516	HEB1082900516
30096305X	081971435	6004503827	108290046X	HEB108290046X
30096305X	081971435	6004503835	1082900478	HEB1082900478
300963076	081971451	6004503843	1082909912	HEB1082909912
300966008	081974094	6004503886	1082904651	HEB1082904651
300974825	081960964	600450369X	1082895016	HEB1082895016
301009082	459830880	6004328227	1083019392	HEB1083019392
301091552	125858124	6004123943	1083065920	HEB1083065920
301111774		6004584061	1073563197	HEB1073563197
301173885	082413746	6004504920	1082910023	HEB1082910023
301173885	082413746	6004504939	1082910031	HEB1082910031
301182612	082580847	6004505153	1082885533	HEB1082885533
301279160	459719661	6004552372	1082882496	HEB1082882496
301289425	084279125	6004507180	1082911062	HEB1082911062
301315337	459733419	6004557226	1082898082	HEB1082898082
301338884	079187285	6004496510	1082897094	HEB1082897094
301361894	459881868	6004354228	1083079476	HEB1083079476
301363986	082123756	6004504300	1082924040	HEB1082924040
301379416	459878859	6004352330	108307606X	HEB108307606X
301428123	091734177	6004514225	1082927600	HEB1082927600
301435111	08198295X	6004503894	1082946095	HEB1082946095
301435162	082042616	6004503983	1082900532	HEB1082900532
301435162	082042616	6004503991	1082900540	HEB1082900540
301435588	082043108	6004504017	1082900907	HEB1082900907
301436150	082044015	6004504025	1082903000	HEB1082903000
301436924	082045623	6004504033	1082893366	HEB1082893366
301436924	082045623	6004504041	1082893374	HEB1082893374
301437289	093627971	6004517631	1082906883	HEB1082906883
301437319	082046212	600450405X	1082902837	HEB1082902837
301437327	082046220	6004504068	1082901989	HEB1082901989
301438943	082048673	6004504084	108289513X	HEB108289513X
301439850	08205018X	6004504092	1082890375	HEB1082890375
301440581	082051631	6004504106	1082901474	HEB1082901474
301440751	082051852	6004504114	1082893609	HEB1082893609
301440751	082051852	6004504122	1082893617	HEB1082893617
301440751	082051852	6004504130	1082893625	HEB1082893625
301441324	082052689	6004504165	1082900990	HEB1082900990
301441499	082052891	6004504173	1082911011	HEB1082911011
301442673	082054355	600450419X	1082894842	HEB1082894842
30144370X	082055491	6004504203	1082893528	HEB1082893528
301444382	082056382	6004504211	1082902772	HEB1082902772
301448701	09274849X	600451537X	1082871885	HEB1082871885
301449236	079262929	6004496995	1082880981	HEB1082880981
301451184	082037507	6004503959	1083019708	HEB1083019708
301452474	082038511	6004503967	1082888451	HEB1082888451
301452512	082038554	6004503975	1082893706	HEB1082893706
301558760	08212955X	6004504335	1082893447	HEB1082893447
301559694	082130450	6004504343	1082915181	HEB1082915181
301560668	082131430	600450436X	1082894494	HEB1082894494
301561443	082132054	6004504386	1082888222	HEB1082888222
301561508	082132119	6004504394	1082917044	HEB1082917044
301561729	082132259	6004504408	1082897744	HEB1082897744
30156177X	082132305	6004504416	108291441X	HEB108291441X
301562083	459723510	6004554359	1082886750	HEB1082886750
301562725	082133158	6004504424	1082901679	HEB1082901679
301562725	082133158	6004504432	1082901687	HEB1082901687
301565341	082135533	6004504440	1082902705	HEB1082902705
301565449	082135622	6004504459	1082893595	HEB1082893595
301569428	082119600	6004504262	1082888737	HEB1082888737
301572143	082121966	6004504270	1082912441	HEB1082912441
301573042	082122652	6004504289	1082894532	HEB1082894532
301795908	459723030	6004554227	1082886246	HEB1082886246
301919232	459836641	6004331120	1083026011	HEB1083026011
301919232	459836641	6004331139	108302602X	HEB108302602X
301919232	459836641	6004331147	1083026038	HEB1083026038
301928495	126488118	6004529346	1083904787	HEB1083904787
301947597	459738143	6004559180	1082903574	HEB1082903574
30197408X	459735624	6004558303	1082900729	HEB1082900729
302007172	082215812	600450453X	1082906751	HEB1082906751
302007687	082216169	6004504548	1082904929	HEB1082904929
302007784	082216231	6004504556	1082905054	HEB1082905054
302007865	082216282	6004504564	1082904988	HEB1082904988
302009817	082217971	6004504572	1082895741	HEB1082895741
302011722	082219710	6004504599	1126354171	HEB1126354171
302015094	083783911	600454390X	1101059583	HEB1101059583
302015604	459737112	600455880X	1082902373	HEB1082902373
30201893X	459736094	6004558435	1082901261	HEB1082901261
302022953	459740628	6004560294	108290628X	HEB108290628X
302070265	063772957	600448458X	1082615005	HEB1082615005
302201629	082324743	6004504629	1082970042	HEB1082970042
302201807	082324913	6004504653	1082902365	HEB1082902365
302203109	084937750	6004508764	108290998X	HEB108290998X
302203176	082326088	6004504661	1082902683	HEB1082902683
302204660	082327300	600450467X	1082894567	HEB1082894567
302205691	082328110	6004504688	1083001868	HEB1083001868
302212795	082205213	6004504513	1082894753	HEB1082894753
302213155	082332673	6004504696	1082895156	HEB1082895156
30221593X	08233479X	6004504734	1082915602	HEB1082915602
302339175	071623647	6004487074	108291861X	HEB108291861X
302419748	060723394	6004480576	1083020242	HEB1083020242
302428712	08385570X	600450632X	1082888532	HEB1082888532
302428712	08385570X	6004506338	1082888540	HEB1082888540
302428712	08385570X	6004506346	1082888559	HEB1082888559
302479031	089649818	6004510254	1082897604	HEB1082897604
302489266	060739568	6004480614	1280968907	HEB1280968907
302546855	082408823	6004504793	1082902845	HEB1082902845
302547193	089734300	6004544221	1117089657	HEB1117089657
302547207	08986851X	6004511048	1082889407	HEB1082889407
302547606	082409439	6004504807	1082896195	HEB1082896195
302547983	082409811	6004504815	1082898015	HEB1082898015
302549730	274205726	6004201103	1083056999	HEB1083056999
302549986	082411530	600450484X	1082971677	HEB1082971677
302550488	082411956	6004504866	1082896578	HEB1082896578
302550984	082412421	6004504882	1082942715	HEB1082942715
302550984	082412421	6004504890	1082942723	HEB1082942723
302550984	082412421	6004504904	1082942731	HEB1082942731
302551379	082412790	6004504912	1082893196	HEB1082893196
302553363	061072931	6004481467	1082898465	HEB1082898465
302553363	061072931	6004481475	1082898473	HEB1082898473
302553967	082415528	6004504947	1082893684	HEB1082893684
302555072	082416249	6004504955	1082902012	HEB1082902012
302555072	082416249	6004504963	1082902020	HEB1082902020
302555080	082416257	6004504971	1082897140	HEB1082897140
302555080	082416257	600450498X	1082897159	HEB1082897159
302555080	082416257	6004504998	1082897167	HEB1082897167
302560912	082406081	6004504785	1082894648	HEB1082894648
302630201	082401012	6004504777	1082897329	HEB1082897329
302648933	083809635	6004506273	1082914991	HEB1082914991
302649301	089691040	6004510424	1082900605	HEB1082900605
302653449	054368596	6004458031	1083002058	HEB1083002058
302688315	089809114	6004510874	1082951676	HEB1082951676
302688315	089809114	6004510882	1082951684	HEB1082951684
302688315	089809114	6004510890	1082951692	HEB1082951692
302792481	082548587	6004505080	1082904635	HEB1082904635
302794662	082550506	6004505099	1082902357	HEB1082902357
302795081	08152174X	6004543594	1082585866	HEB1082585866
302795391	099279207	6004525480	1082962937	HEB1082962937
302795391	099279207	6004525499	1082962945	HEB1082962945
302933433	123266343	6004036048	1082979368	HEB1082979368
302956174	084247231	6004507148	1082887706	HEB1082887706
303072415	083733892	6004505994	1082898953	HEB1082898953
303074930	083736077	600450601X	1082905194	HEB1082905194
303075724	083736778	6004506060	1082906298	HEB1082906298
30307700X	459733923	6004557498	1082898759	HEB1082898759
303077727	083738592	6004506079	1082920819	HEB1082920819
303078693	083739394	6004037990	1082900664	HEB1082900664
303078804	083739505	6004506087	1082960209	HEB1082960209
303078804	083739505	6004506095	1082960217	HEB1082960217
303078812	083739513	6004506109	1082905186	HEB1082905186
303078936	083739637	6004506117	1082899992	HEB1082899992
303089210	083700366	6004505978	1082900613	HEB1082900613
303104554	347964753	6004230928	1083040650	HEB1083040650
303199210	060226331	6004479586	1082881112	HEB1082881112
30324187X	084021454	6004506753	1083110675	HEB1083110675
303255722		6004597163	1091965692	HEB1091965692
303296941	083805877	6004506222	1082900575	HEB1082900575
30329759X	083806431	6004506230	1082901237	HEB1082901237
303303204	083811451	6004506281	1082909432	HEB1082909432
303303220	083811478	600450629X	1082901164	HEB1082901164
303308656	459744437	6004562238	1082910422	HEB1082910422
303361611	084580127	6004507814	1082891762	HEB1082891762
303366443	083854312	6004506311	1082918369	HEB1082918369
303370114	459879928	6004353108	1083077295	HEB1083077295
30341328X	089853806	600451098X	1082906875	HEB1082906875
303487518	090011376	6004511390	1082888044	HEB1082888044
303501502	459743538	6004561843	1082909440	HEB1082909440
303506687	083878920	6004506362	1082906549	HEB1082906549
303507403	083879471	6004506389	1082898910	HEB1082898910
303507403	083879471	6004506397	1082898929	HEB1082898929
303507403	083879471	6004506400	1082898937	HEB1082898937
303507403	083879471	6004506419	1082898945	HEB1082898945
303507454	08387951X	6004506427	1082900672	HEB1082900672
303507454	08387951X	6004506435	1082900680	HEB1082900680
303512768	08388369X	6004506443	1082983632	HEB1082983632
303526610	058567844	6004473901	1082900265	HEB1082900265
303526963	056843356	600446936X	1082868841	HEB1082868841
303547383	227646886	6004185736	1082893218	HEB1082893218
303629908	459733060	6004557129	108289771X	HEB108289771X
303659394	053415884	600445527X	1082896632	HEB1082896632
303686510	094735670	6004544752	1101056428	HEB1101056428
303686820	083961070	6004506567	1082897647	HEB1082897647
303687010	083961283	6004506575	1082905704	HEB1082905704
303687010	083961283	6004506583	1082905712	HEB1082905712
303689196	083963235	6004506648	1082932620	HEB1082932620
303689366	090011384	6004511404	1082900699	HEB1082900699
303689595	083963634	6004506656	1082900001	HEB1082900001
303689900	08396388X	6004506664	1082931055	HEB1082931055
303690224	083964169	6004506672	1082898961	HEB1082898961
303690712	083964630	6004506680	1083419528	HEB1083419528
303690879	083964789	6004506699	1082897612	HEB1082897612
303690879	083964789	6004506702	1082897620	HEB1082897620
30369775X	083958347	6004506559	1082893226	HEB1082893226
303816015	08174837X	6004503320	1082787965	HEB1082787965
303837292	090006933	600451134X	1082901652	HEB1082901652
303839856	096778407	6004522708	1082911801	HEB1082911801
303847948	11269697X	6004106356	1082909629	HEB1082909629
303856866	090080637	6004511552	1082962392	HEB1082962392
303856866	090080637	6004511560	1082962406	HEB1082962406
303873388	08963876X	600451019X	1082892750	HEB1082892750
303873388	08963876X	6004510203	1082892769	HEB1082892769
303936525	084030275	600450680X	1082917745	HEB1082917745
303936800	084030437	6004506818	1082901156	HEB1082901156
303937092	084030666	6004506826	1082900591	HEB1082900591
303937475	084031026	6004506834	1082894486	HEB1082894486
303941030	090121791	6004511609	1082902659	HEB1082902659
303950013	084036052	6004506850	1082905364	HEB1082905364
303985879	056821123	6004469203	1082942340	HEB1082942340
304001082	089620828	6004510149	1082960233	HEB1082960233
304001082	089620828	6004510157	1082960241	HEB1082960241
304097144	084169087	600450694X	1082900370	HEB1082900370
304352535	093863608	6004518158	1082630853	HEB1082630853
304353108	084198486	6004506990	1082910112	HEB1082910112
304353108	084198486	6004507008	1082910120	HEB1082910120
304353337	084198702	6004507016	1082905372	HEB1082905372
304353957	084199253	6004507024	1082923818	HEB1082923818
30435581X	084200855	6004507040	1082900745	HEB1082900745
304357359	084202262	6004507067	1082900583	HEB1082900583
304360813	08419331X	6004506958	1082898805	HEB1082898805
30436309X	084195029	6004506974	1082898864	HEB1082898864
304366404	084197676	6004506982	1082898813	HEB1082898813
304368571	084203625	6004507075	1082901202	HEB1082901202
304389978	084067888	6004506915	1082890421	HEB1082890421
304687561	084296895	6004507326	1082900753	HEB1082900753
304735388	092630227	6004515175	108291522X	HEB108291522X
304735388	092630227	6004515183	1082915238	HEB1082915238
304735388	092630227	6004515191	1082915246	HEB1082915246
304811246	459728660	6004555711	1082892653	HEB1082892653
304811246	459728660	600455572X	1082892661	HEB1082892661
304861960	093491948	6004517186	1082624594	HEB1082624594
304894451	00900176X	6004511439	1082913758	HEB1082913758
304913545	084799730	6004508284	1082897671	HEB1082897671
304913545	084799730	6004508292	108289768X	HEB108289768X
304913545	084799730	6004508306	1082897698	HEB1082897698
304913545	084799730	6004508314	1082897701	HEB1082897701
305038451	084306076	6004507334	1082895709	HEB1082895709
305042157	084441720	6004507652	1082902128	HEB1082902128
305045369	08959648X	6004510084	108290449X	HEB108290449X
305198505	459917919	6004370908	108312031X	HEB108312031X
305198556	459869620	6004346241	108306486X	HEB108306486X
305212044	459730185	6004555983	1082894338	HEB1082894338
305260480	459759019	6004567884	1082927651	HEB1082927651
305283413	459720473	6004552909	1082883336	HEB1082883336
305299670	084273682	6004507164	108289883X	HEB108289883X
305745530	089814088	6004510912	108296297X	HEB108296297X
305745662	084293527	6004507229	1082918040	HEB1082918040
305746359	084294094	6004507237	1082895644	HEB1082895644
305746359	084294094	6004507245	1082895652	HEB1082895652
305746359	084294094	6004507253	1082895660	HEB1082895660
305746359	084294094	6004507261	1082895679	HEB1082895679
305746731	084294396	600450727X	1082900524	HEB1082900524
305747053	084294663	6004507288	1082901172	HEB1082901172
305747053	084294663	6004507296	1082901180	HEB1082901180
305747738	084295317	600450730X	1082901199	HEB1082901199
305753932	084214384	6004507091	1082900710	HEB1082900710
305755633	084274190	6004507172	1082894133	HEB1082894133
305827898	084330643	6004507350	1082959863	HEB1082959863
30583262X	084334932	6004507369	1082932450	HEB1082932450
305833227	084335505	6004507385	1082967394	HEB1082967394
305833227	084335505	6004507393	1082967408	HEB1082967408
30597291X	459741969	6004560979	108290774X	HEB108290774X
305974327	061553360	6004483273	1082890405	HEB1082890405
306244284	084432055	6004507571	108296302X	HEB108296302X
306244411	084432179	6004038032	1082886580	HEB1082886580
306248123	084435321	6004507601	1082919543	HEB1082919543
306249359	084436360	600450761X	1082639664	HEB1082639664
306251167	084437871	6004507636	1082902802	HEB1082902802
306319128	459736485	6004558508	1082901709	HEB1082901709
306340941		6004583499	1117159019	HEB1117159019
306371480	185331181	6004153168	1083135961	HEB1083135961
306452685	083931872	6004506451	1082906182	HEB1082906182
306465973	084535474	6004507725	1082950092	HEB1082950092
306469464	084538805	6004507733	1082919411	HEB1082919411
306472082	084541326	6004507741	1082910740	HEB1082910740
306472945	084542306	600450775X	1083187511	HEB1083187511
306580446		6004595845	107628180X	HEB107628180X
306593300		600458407X	111715954X	HEB111715954X
306601303	084501618	6004507709	1125886463	HEB1125886463
306648962		600459475X	1073562166	HEB1073562166
306667886	089747313	6004510696	1082893862	HEB1082893862
306735717	089639200	6004510211	1082892777	HEB1082892777
306742969	090015495	6004511412	1082885002	HEB1082885002
306795051	084615850	6004507849	1082949604	HEB1082949604
306795051	084615850	6004507857	1082949612	HEB1082949612
306795477	084357444	6004507431	1082928526	HEB1082928526
306799502	084619619	6004507873	1083005898	HEB1083005898
306805707	084606908	6004507822	1082896861	HEB1082896861
306808099	089731379	6004510475	1082900257	HEB1082900257
30688948X	091708656	600451408X	1082896217	HEB1082896217
307123839	053645200	6004541508	1113568895	HEB1113568895
307130924	032393857	6004222178	1082619124	HEB1082619124
307130924	032393857	6004222186	1082619132	HEB1082619132
307130924	032393857	6004222194	1082619140	HEB1082619140
30719213X	005873851	6004474363	1082865648	HEB1082865648
307194752	014068702	6004136735	1082851469	HEB1082851469
307195333	459700979	6004547379	1082861073	HEB1082861073
307281493	005599539	6004465097	1082783161	HEB1082783161
30732155X	084729686	6004508063	1082951269	HEB1082951269
307325121	084985399	6004508829	1082895490	HEB1082895490
307325121	084985399	6004508837	1082895504	HEB1082895504
307349756	089672305	6004510297	1082889954	HEB1082889954
307372057	090785010	6004512419	1082892440	HEB1082892440
307372057	090785010	6004512427	1082892459	HEB1082892459
307372057	090785010	6004512435	1082892467	HEB1082892467
307372057	090785010	6004512443	1082892475	HEB1082892475
307514498	084736747	600450808X	1082905933	HEB1082905933
307541029	084199342	6004507032	1082898988	HEB1082898988
307542211	089941527	600451117X	1082895466	HEB1082895466
308072766	034097899	6004534412	1101060557	HEB1101060557
308123492	084742607	6004508098	1082916277	HEB1082916277
308124243	084743360	6004508101	108290032X	HEB108290032X
308124243	084743360	600450811X	1082900338	HEB1082900338
308124308	084743425	6004508128	1082946850	HEB1082946850
308125207	091428254	6004513652	1082895547	HEB1082895547
308125231	084744340	6004508136	1082918229	HEB1082918229
30812524X	084744359	6004508144	1082895458	HEB1082895458
308127749	08474698X	6004508152	108290094X	HEB108290094X
308128591	084747889	6004508179	1082946230	HEB1082946230
308128877	084748230	6004508187	1082918059	HEB1082918059
30813107X	079200184	6004496650	1082905356	HEB1082905356
308138155	082492271	6004505064	1082934879	HEB1082934879
308210565	090996658	6004512664	1082909084	HEB1082909084
308301366	103652124	6004091197	1082865222	HEB1082865222
308311515	09102000X	6004512710	1082901393	HEB1082901393
308311795	084792418	6004508225	108291147X	HEB108291147X
308315324	084542861	6004507768	1082901490	HEB1082901490
308315324	084542861	6004507776	1148420657	HEB1148420657
308315995	08479643X	600450825X	1082963003	HEB1082963003
