k10plus-PPN	hebis-PPN	k10plus-EPN	hebis-EPN	206X
011167440	030528216	6004214221	1082777951	HEB1082777951
011167521	028055802	6004203793	108341948X	HEB108341948X
011189894	080096468	6004499056	1082899585	HEB1082899585
011194790	023438037	6004189804	108278639X	HEB108278639X
01119703X	080132804	6004499110	1082831697	HEB1082831697
011217448	079744435	6004498173	1082837326	HEB1082837326
011217480	029989450	6004211494	1082818402	HEB1082818402
011217480	029989450	6004211508	1082818410	HEB1082818410
011222824	017739551	6004144126	1082832340	HEB1082832340
011222824	017739551	6004144134	1082832359	HEB1082832359
011222824	017739551	6004144142	1082832367	HEB1082832367
011230843	07959395X	6004497797	1082801984	HEB1082801984
011251697	053641167	6004455830	1083129244	HEB1083129244
01125209X	080132820	6004499129	1082853283	HEB1082853283
011253932	061440647	6004482722	1082832332	HEB1082832332
011263113	080222552	6004499420	1082817074	HEB1082817074
011281227	061426431	6004482668	1082829110	HEB1082829110
011281227	061426431	6004482676	1082829129	HEB1082829129
011288515	035635169	6004235164	1083098578	HEB1083098578
011301570	058814930	6004474649	1082817511	HEB1082817511
01130555X	059192968	6004475815	1082823759	HEB1082823759
011305711	052430553	6004453285	1082789984	HEB1082789984
011305800	079879438	6004498610	1082782599	HEB1082782599
011305835	079490980	6004497622	1082779458	HEB1082779458
01130586X	079681751	6004497975	1082787884	HEB1082787884
011313269	033894574	6004227749	108270024X	HEB108270024X
011313544	079914241	6004498726	1082779407	HEB1082779407
011320893	079765645	6004498203	1083101188	HEB1083101188
011330562	01904173X	6004156795	1082797979	HEB1082797979
011371404	08045173X	6004500119	1082814792	HEB1082814792
011375353	026544733	6004197432	1082789550	HEB1082789550
011375914	079841759	6004498386	108313700X	HEB108313700X
011377097	027364593	6004200980	1082838349	HEB1082838349
011377119	053681924	6004455911	1082789526	HEB1082789526
011523530	019065825	6004157139	1082829854	HEB1082829854
011536470	459741853	6004560898	1082907626	HEB1082907626
011619937	026114704	6004196223	1082817619	HEB1082817619
011681845	005960460	6004477222	1082897965	HEB1082897965
011706465	00789077X	6004496405	1082821497	HEB1082821497
011781645	010772812	6004098388	1082789119	HEB1082789119
011787732	011218665	6004105597	1082831727	HEB1082831727
011790512	459897039	6004361240	1083097016	HEB1083097016
011793090	014065924	6004136700	1082799386	HEB1082799386
011799072	013982885	6004136530	1082830119	HEB1082830119
011807423	013276964	6004130818	1082707430	HEB1082707430
011807431	014087960	6004136824	1082850403	HEB1082850403
011808608	011768118	6004112313	1082796654	HEB1082796654
011811501	098613553	6004524360	1082845825	HEB1082845825
011827823	020319533	6004167053	108292685X	HEB108292685X
011843128	014139618	6004137057	1082971715	HEB1082971715
011846992	01448997X	600413841X	1082829161	HEB1082829161
011851112	011392975	6004108243	1082876038	HEB1082876038
01185992X	013599062	6004135011	1082925802	HEB1082925802
011868090	013769758	600413578X	108283064X	HEB108283064X
011868090	013769758	6004135798	1082830658	HEB1082830658
011881372	016240960	6004139653	108265020X	HEB108265020X
011892145	014067145	6004136727	1082788600	HEB1082788600
011921269	025369652	6004194816	1082862622	HEB1082862622
011921943	017805759	6004145157	1082782106	HEB1082782106
011924969	01770166X	6004143766	1082855588	HEB1082855588
011936223	019353715	6004159719	1082863920	HEB1082863920
011946180	459758306	6004567590	1082926906	HEB1082926906
011965061	076480909	6004494933	1083096443	HEB1083096443
011965282	049219030	6004428450	1082828246	HEB1082828246
011981229	049596268	6004431737	1082907359	HEB1082907359
011982616	459738216	6004559253	1082903647	HEB1082903647
01200748X	023282932	6004189081	1082789593	HEB1082789593
012020109	004178904	6004244473	1082925861	HEB1082925861
012088986	00474893X	6004415251	1082855030	HEB1082855030
01212110X	00426066X	6004245275	1083148028	HEB1083148028
012153990	080300111	6004499862	1083103733	HEB1083103733
012157678	055557449	600446225X	1083116959	HEB1083116959
012157686	055557473	6004462268	1083116975	HEB1083116975
012167460	080007252	6004498912	1083100238	HEB1083100238
012167460	080007252	6004498920	1083100246	HEB1083100246
012174777	459738801	6004559598	1082904279	HEB1082904279
